"CustomerId","Tenure","Balance","NumOfProducts","HasCrCard","IsActiveMember","Exited"
15634602,2,0,1,1,1,1
15647311,1,83807.86,1,0,1,0
15619304,8,159660.8,3,1,0,1
15701354,1,0,2,0,0,0
15737888,2,125510.82,1,1,1,0
15574012,8,113755.78,2,1,0,1
15592531,7,0,2,1,1,0
15656148,4,115046.74,4,1,0,1
15792365,4,142051.07,2,0,1,0
15592389,2,134603.88,1,1,1,0
15767821,6,102016.72,2,0,0,0
15737173,3,0,2,1,0,0
15632264,10,0,2,1,0,0
15691483,5,0,2,0,0,0
15600882,7,0,2,1,1,0
15643966,3,143129.41,2,0,1,0
15737452,1,132602.88,1,1,0,1
15788218,9,0,2,1,1,0
15661507,6,0,1,0,0,0
15568982,6,0,2,1,1,0
15577657,8,0,2,1,1,0
15597945,8,0,2,1,0,0
15699309,4,0,1,1,0,1
15725737,3,0,2,0,1,0
15625047,5,0,1,1,1,0
15738191,3,0,2,0,1,0
15736816,2,136815.64,1,1,1,0
15700772,9,0,2,0,0,0
15728693,3,141349.43,1,1,1,0
15656300,0,59697.17,2,1,1,0
15589475,3,0,3,1,0,1
15706552,7,85311.7,1,0,1,0
15750181,9,110112.54,2,0,0,0
15659428,6,0,2,1,1,0
15732963,9,0,2,1,1,0
15794171,0,134264.04,1,1,0,1
15788448,3,145260.23,1,0,1,0
15729599,7,76548.6,1,0,1,0
15717426,7,0,1,1,1,0
15585768,6,70349.48,2,0,1,0
15619360,4,0,1,1,0,0
15738148,8,122522.32,1,0,0,1
15687946,2,117419.35,1,1,1,0
15755196,2,131394.56,1,0,0,1
15684171,5,155931.11,1,1,1,0
15754849,4,109421.13,2,1,1,0
15602280,9,112045.67,1,1,1,1
15771573,9,137843.8,1,1,1,1
15766205,2,103391.38,1,0,1,0
15771873,2,103769.22,2,1,0,0
15616550,10,116363.37,2,1,0,0
15768193,5,146050.97,2,0,0,0
15683553,5,0,2,0,0,0
15702298,8,125561.97,1,0,0,1
15569590,1,98495.72,1,1,0,1
15760861,1,125211.92,1,1,1,0
15630053,5,127864.4,1,1,0,0
15647091,0,75888.2,1,0,0,0
15623944,4,0,1,1,0,1
15804771,4,40685.92,1,1,1,0
15651280,5,136857,1,0,0,0
15773469,9,152328.88,2,0,0,0
15702014,1,56084.69,2,0,0,0
15751208,8,78707.16,1,1,1,0
15592461,4,109166.37,1,1,1,0
15789484,6,169831.46,2,1,1,0
15696061,1,101633.04,1,1,0,0
15641582,10,123180.01,2,1,1,0
15638424,5,150725.53,2,0,1,0
15755648,8,98373.26,1,1,0,0
15703793,2,133745.44,4,1,0,1
15620344,6,0,1,1,0,0
